Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7)
  4633,  7.5458e+03, -5.9536885603821040e-03, -1.6216095291721837e-03,  5.2082601053049404e-02,  1.6093083760497083e-03, -1.0011451167596551e-03, -3.1213944373911485e-03,  3.8709412822053824e-01,  3.2348340788527106e-03
  4634,  7.5458e+03, -5.9536885603821040e-03, -1.6216095291721837e-03,  5.2082601053049404e-02,  1.6093083760497083e-03, -1.0011451167596551e-03, -3.1213944373911485e-03,  3.8709402822053823e-01,  3.2349340788527105e-03
  4635,  7.5475e+03, -6.0118782957470701e-03, -1.6242493627010850e-03,  5.2080693159690744e-02,  1.6146394005218973e-03, -1.0321201849021341e-03, -3.1084041506629833e-03,  3.8710985765835715e-01,  3.1966115112023893e-03
  4636,  7.5475e+03, -6.0117782957470698e-03, -1.6242493627010850e-03,  5.2080693159690744e-02,  1.6146394005218973e-03, -1.0321201849021341e-03, -3.1084041506629833e-03,  3.8710985765835715e-01,  3.1966115112023893e-03
  4637,  7.5475e+03, -6.0118782957470701e-03, -1.6241493627010850e-03,  5.2080693159690744e-02,  1.6146394005218973e-03, -1.0321201849021341e-03, -3.1084041506629833e-03,  3.8710985765835715e-01,  3.1966115112023893e-03
  4638,  7.5475e+03, -6.0118782957470701e-03, -1.6242493627010850e-03,  5.2080793159690747e-02,  1.6146394005218973e-03, -1.0321201849021341e-03, -3.1084041506629833e-03,  3.8710985765835715e-01,  3.1966115112023893e-03
  4639,  7.5475e+03, -6.0118782957470701e-03, -1.6242493627010850e-03,  5.2080693159690744e-02,  1.6147394005218974e-03, -1.0321201849021341e-03, -3.1084041506629833e-03,  3.8710985765835715e-01,  3.1966115112023893e-03
  4640,  7.5475e+03, -6.0118782957470701e-03, -1.6242493627010850e-03,  5.2080693159690744e-02,  1.6146394005218973e-03, -1.0320201849021340e-03, -3.1084041506629833e-03,  3.8710985765835715e-01,  3.1966115112023893e-03
  4641,  7.5475e+03, -6.0118782957470701e-03, -1.6242493627010850e-03,  5.2080693159690744e-02,  1.6146394005218973e-03, -1.0321201849021341e-03, -3.1083041506629835e-03,  3.8710985765835715e-01,  3.1966115112023893e-03
  4642,  7.5475e+03, -6.0118782957470701e-03, -1.6242493627010850e-03,  5.2080693159690744e-02,  1.6146394005218973e-03, -1.0321201849021341e-03, -3.1084041506629833e-03,  3.8710995765835715e-01,  3.1966115112023893e-03
  4643,  7.5475e+03, -6.0118782957470701e-03, -1.6242493627010850e-03,  5.2080693159690744e-02,  1.6146394005218973e-03, -1.0321201849021341e-03, -3.1084041506629833e-03,  3.8710985765835715e-01,  3.1967115112023891e-03
  4644,  7.5492e+03, -6.0526762503538122e-03, -1.6321783378103706e-03,  5.2067093424358134e-02,  1.6284303139414730e-03, -1.0390525879394139e-03, -3.1043789208632282e-03,  3.8717750828554770e-01,  3.1563338871678261e-03
  4645,  7.5492e+03, -6.0525762503538119e-03, -1.6321783378103706e-03,  5.2067093424358134e-02,  1.6284303139414730e-03, -1.0390525879394139e-03, -3.1043789208632282e-03,  3.8717750828554770e-01,  3.1563338871678261e-03
  4646,  7.5492e+03, -6.0526762503538122e-03, -1.6320783378103705e-03,  5.2067093424358134e-02,  1.6284303139414730e-03, -1.0390525879394139e-03, -3.1043789208632282e-03,  3.8717750828554770e-01,  3.1563338871678261e-03
  4647,  7.5492e+03, -6.0526762503538122e-03, -1.6321783378103706e-03,  5.2067193424358137e-02,  1.6284303139414730e-03, -1.0390525879394139e-03, -3.1043789208632282e-03,  3.8717750828554770e-01,  3.1563338871678261e-03
